;al;bits;dfo_nf;dfo_qcs;ebs;evhoe;fr_cgfs;gmex;goa;gsl_n;gsl_s;ice_gfs;ie_igfs;neus;nigfs;nor_bts;ns_ibts;nz;pt_ibts;rocall;s_georg;scs;seus;swc_ibts;wcann;wctri
18. Jul 04;;;;0.079762512;0.713072343;;;;0.125954676;;;0.06342285;;;;0.394393088;;;;;;;;;;0.003553389
17. Aug 04;;;;0.896270045;0.448151894;;;;0.603920451;;;0.533344273;;;;0.428010235;;;0.018837812;;;;;;;
16. Sep 04;;;;;0.274836734;;;;;;;0.31593215;;;;;;;;;;;;;;
16-OCT-2004;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Nov 04;;;;;;;;;;;;;;;;;;;;;;;;;;
15-DEC-2004;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jan 05;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Feb 05;;;;;;;;;;;;;;;;;;;;;0.006705193;;;;;
15-MAR-2005;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Apr 05;;;;;;;;;;;;;;;;;;;;;;;;;;
16-MAY-2005;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Jun 05;;;;0.152701215;;;;;0.321413436;;;;;;;;;;;;;;;;;
18. Jul 05;;;;;0.478923035;;;;0.690574009;;;;;;;;;;;;;;;;;
17. Aug 05;;;;;;;;;0.041400712;;;;;;;;;;;;;;;;;
16. Sep 05;;;;;;;;;;;;;;;;;;;;;;;;;;
16-OCT-2005;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Nov 05;;;;;;;;;;;;;;;;;;;;;;;;;;
15-DEC-2005;;;;;;;;;;;;;;;;;;0.158456872;;;;;;;;
16. Jan 06;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Feb 06;;;;;;;;;;;;;;;;;;;;;;;;;;
15-MAR-2006;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Apr 06;;;;;;;;;;;;;;;;;;;;;0.396712921;;;;;
16-MAY-2006;;;;;;;;;;0.312765028;0.515638831;;;;;;;;;;0.296187111;;;;;
18. Jun 06;;;0.501511516;;;;;;;0.906079944;0.238447873;;;;;;;;0.095607329;;;0.28242536;;;;
18. Jul 06;;1.463989062;0.335188003;;;0.605758878;;;;0.580925306;0.374180457;;;;;;0.561502474;;0.070702663;;;0.777054474;;0.083547289;;
