ref_yr,survey,year,wt_mt,wt_mt_med,num,num_med,depth_wt,wt_mt_log,wt_mt_log_med,num_log,num_log_med,depth_wt_log,CTI,cti_diff,cti_log
GMEX-6-2006,GMEX,2006,1.1571275165115338,65.8298326528074,41474.235964271524,3146.577269612647,64.74506890206699,0.0042819407288449615,0.023817053759167348,-0.13275034159472562,0.1019162491129678,0.17194774978842653,24.05773743685435,0.11581004028593256,0.004825461403042512
GSL-S-8-2006,GSL-S,2006,2.2752382472352695,215.0538883031179,17626.183290895104,1319.290465631931,NA,-0.2992813964459898,-0.2729343595526742,-0.17102547499836337,-0.10637987472891156,NA,5.521953199666844,-0.00803243956362909,-0.0014535804251229068
IE-IGFS-10-2006,IE-IGFS,2006,5.1172551672038145,339.76360530368646,113215.82585226018,6392.136758584411,122.33192487729143,0.16447647973776894,-0.6476445404283344,0.5414154334993639,-0.35805206035767023,-0.007960858264673515,13.850087288835951,0.5324085951632824,0.0391991573782422
NEUS-9-2006,NEUS,2006,6.114583565235363,132.77343750000034,NA,NA,72.43828212673486,-0.16427058592829408,2.97218125048159,NA,NA,0.2814898037365084,15.693872804927667,-0.28465254717990796,-0.017975286257518618
Nor-BTS-8-2006,Nor-BTS,2006,3.271850088480621,299.21196310050664,23522.983447225288,1425.0483737697396,249.2645561008328,0.4777498709575749,1.073247557534862,0.2010694722823819,1.3410822497289419,0.1667204341650284,6.724276254194607,-0.5337066803671071,-0.07637765802672676
NS-IBTS-1-2006,NS-IBTS,2006,4.3684052098020025,249.52089940699207,85441.18485853536,2759.9945563414103,77.33246347790138,0.050719230393800434,-0.12501114486966222,0.17585627971166162,-0.2534421920047102,-0.21018239027547608,7.8739039611310595,-1.4480098830268435,-0.16881396021566664
PT-IBTS-9-2006,PT-IBTS,2006,6.669365395268242,262.11476368474746,215881.29079188252,4989.5541594822525,119.82971953502391,0.8916664716303309,0.23954937617541452,1.312229854081967,0.9746291280046693,-0.4616297738982778,17.085057092853773,2.0244842554254703,0.12612396859417124
SCS-6-2006,SCS,2006,1.466668383434519,21.091155254700418,6530.265899634568,120.26497168637096,143.88667833313824,0.0948967556448677,-0.2268480592320501,0.023440958350960033,0.4311614335892158,0.0039328759689313125,8.026791617058747,-0.6431846271019381,-0.07708115222350223
SEUS-4-2006,SEUS,2006,7.930906292574172,466.4406776156132,71330.62303341311,8864.996967395326,8.255706618636232,0.5484221805747206,0.41302408593208567,0.3534713021939807,0.6786190897926557,-0.004743536506734433,24.02189291656101,0.09488685293922572,0.003957837565411638
SWC-IBTS-2-2006,SWC-IBTS,2006,25.107567267199162,2133.3768613707857,223956.84245747884,19277.88619014093,136.94086535190954,0.6593786657268832,0.08151744902854474,0.4939557101498766,0.259345720510832,0.02853978798467118,13.666903270943703,1.3354605693167336,0.10282477263177463
WCANN-5-2006,WCANN,2006,14.107210319232145,1190.7743752642853,54494.143924533106,2443.831372535689,327.67989522431293,-0.07791096239014676,-0.01535297118935328,-0.2367795602289232,-0.28774221374646564,0.1337376824706393,8.867332999468521,-0.02674819255773464,-0.0030119462888009364
BITS-2-2007,BITS,2007,4.5670923168177575,549.6372774838951,159521.66759964766,9758.178739999203,55.88619256540338,0.11125525357350965,0.047388905255694426,0.1426481207894235,0.5070062949568646,-0.060463315387102826,7.447925805036614,-0.003623855723109415,-4.8644072106912226e-4
DFO-QCS-7-2007,DFO-QCS,2007,1.8581360385769077e-12,1.5828497060392698e-10,2.078079376020784e-10,6.4393158870801595e-12,194.81238445655168,-0.5233246693081957,-0.9424327500947983,-0.09214210276491738,Inf,0.07042587102713317,8.219946451844901,-0.05797411565055022,-0.007028102992299863
EBS-6-2007,EBS,2007,18.78617731843574,2352.165,44777.51731843571,5548.754999999999,89.94132386484804,0.07374702064905977,-0.518403448619736,0.05158692465148175,-0.21724686307372046,0.08216511872044512,6.010561278183315,0.014005246070483146,0.002332825116972556
EVHOE-10-2007,EVHOE,2007,8.437720563358294,360.7613770284133,131387.76186259807,6598.488764316211,204.2777030088738,0.4009968508018106,0.10230438262113467,0.01926526167796105,-0.11953331817140117,0.15345577758372503,17.11545176894222,1.7456302453184698,0.10757572222847511
